Date,Original Description,Category,Amount,Account Name
6/28/2017,PAYMENT - THANK YOU,Credit Card Payments,25,Bank of America - Credit Card - BankAmericard Travel Rewards Visa Signat
6/28/2017,PAYMENT - THANK YOU,Credit Card Payments,25,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/26/2017,Online scheduled payment to CSL 4521                        Confirmation# xxxxxx7971,Car Related,-438.45,Bank of America - Bank - Adv Tiered Interest Chkg
6/26/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,Grocery,-21.46,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/24/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,Grocery,-21.97,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/24/2017,COSTCO WHSE #0422        SOUTH SAN FRACA,Grocery,-17.47,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/24/2017,COSTCO WHSE #0422        SOUTH SAN FRACA,Grocery,-31.94,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/24/2017,Netflix.com              netflix.com  CA,Newspapers,-7.99,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/24/2017,COSTCO GAS #0422         SOUTH SAN FRACA,Gas,-27.33,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/24/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,Uncategorized,13.04,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/23/2017,PARIS BAGUETTE #24       MILLBRAE     CA,D-Restaurant,-35.1,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/20/2017,PGANDE           DES:WEB ONLINE ID:xxxxxxxxxx1917            INDN:RONGKE LIN              CO ID:5940,Utility,-85.49,Bank of America - Bank - Adv Tiered Interest Chkg
6/20/2017,THE CHILDRENS PLACE 1420 SAN MATEO    CA,Grocery,-4.34,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/17/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,Grocery,-32.76,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/15/2017,CRAZY LOVE MINIS DES:4NJD       ID:4NJD 15                   INDN:JEANNE LIN              CO ID:1364,Paychecks/Salary,"1,643.71",Bank of America - Bank - Bofa Interest Checking
6/15/2017,CITI AUTOPAY     DES:PAYMENT    ID:xxxxxxxxxxx5490           INDN:CHINESE GARDENS         CO ID:CITI,Credit Card Payments,"-2,376.68",Bank of America - Bank - Adv Tiered Interest Chkg
6/14/2017,Interest Earned,Interest,0.21,Bank of America - Bank - Adv Tiered Interest Chkg
6/14/2017,Interest Earned,Interest,0.65,Bank of America - Bank - Money Market Savings
6/14/2017,Interest Earned,Interest,0.16,Bank of America - Bank - REWARDS MONEY MARKET SAV
6/14/2017,Interest Earned,Interest,0.27,Bank of America - Bank - Bofa Interest Checking
6/14/2017,Federal Withholding,Tax,-0.06,Bank of America - Bank - Adv Tiered Interest Chkg
6/14/2017,Federal Withholding,Tax,-0.18,Bank of America - Bank - Money Market Savings
6/13/2017,AT&T   *PAYMENT          xxx-xxx-2020 TX,Internet,-78.94,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/12/2017,BKOFAMERICA MOBILE 06/11 xxxxxx0058 DEPOSIT                                    *MOBILE       CA,Rental Income,122.64,Bank of America - Bank - Bofa Interest Checking
6/9/2017,ACT*SB Recreation        xxx-xxx7195  TX,Uncategorized,-85,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/9/2017,Pending* KINDLE-FinancialTi xxx-xxx-1072 US KINDLE-FinancialTi xxx-xxx-1072 US,Newspapers,-14.99,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
6/6/2017,COSTCO WHSE #0422 SOUTH SAN FRACA,Grocery,-44.79,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
6/5/2017,TOYOTA FINANCIAL DES:RETAIL_PAY ID:xxxxxxxxxx0517            INDN:RONGKE LIN              CO ID:1953,Car Related,-321.52,Bank of America - Bank - Bofa Interest Checking
6/5/2017,MANILA ORIENTAL MARKET   DALY CITY    CA,Grocery,-22.75,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/5/2017,THAI BASIL RESTAURANT    SUNNYVALE    CA,D-Restaurant,-24,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/3/2017,WA VEHICLE LICENSING xxx-xxx-7470 WA,Car Related,-83.75,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi
6/3/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,Grocery,-6.58,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur
6/1/2017,Bank of America  DES:MORTGAGE   ID:xxxxx9169                 INDN:RONGKE LIN              CO ID:8172,Mortgage/Rent,"-3,116.77",Bank of America - Bank - Bofa Interest Checking
6/1/2017,Online scheduled payment to MTG 7841                        Confirmation# xxxxxx8821,Mortgage/Rent,"-1,955.41",Bank of America - Bank - Adv Tiered Interest Chkg
