Status,Date,Original Description,Split Type,Category,Currency,Amount,User Description,Memo,Classification,Account Name,Simple Description
posted,6/24/2017,COSTCO WHSE #0422        SOUTH SAN FRACA,,Groceries,$,-17.47,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,
posted,6/24/2017,COSTCO WHSE #0422        SOUTH SAN FRACA,,Groceries,$,-31.94,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,
posted,6/24/2017,Netflix.com              netflix.com  CA,,Dues and Subscriptions,$,-7.99,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,
posted,6/24/2017,COSTCO GAS #0422         SOUTH SAN FRACA,,Gasoline/Fuel,$,-27.33,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Costco Gas
posted,6/24/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,,Uncategorized,$,13.04,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,
posted,6/23/2017,PARIS BAGUETTE #24       MILLBRAE     CA,,Restaurants/Dining,$,-35.1,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Paris Baguette
posted,6/21/2017,COSTCO WHSE #0422 SOUTH SAN FRACA,,Groceries,$,-420.59,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/21/2017,COSTCO GAS #0422 SOUTH SAN FRACA,,Gasoline/Fuel,$,-10.71,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,Costco Gas
posted,6/20/2017,PGANDE           DES:WEB ONLINE ID:xxxxxxxxxx1917            INDN:RONGKE LIN              CO ID:5940,,Utilities,$,-85.49,,,Personal,Bank of America - Bank - Adv Tiered Interest Chkg,Pacific Gas and Electric Company
posted,6/20/2017,THE CHILDRENS PLACE 1420 SAN MATEO    CA,,Groceries,$,-4.34,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,The Children's Place
posted,6/19/2017,NCAL KAISER G xxx-xxx-2123 CA,,Healthcare/Medical,$,-35,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/17/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,,Groceries,$,-32.76,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Safeway
posted,6/15/2017,CRAZY LOVE MINIS DES:4NJD       ID:4NJD 15                   INDN:JEANNE LIN              CO ID:1364,,Paychecks/Salary,$,"1,643.71",,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/15/2017,CITI AUTOPAY     DES:PAYMENT    ID:xxxxxxxxxxx5490           INDN:CHINESE GARDENS         CO ID:CITI,,Credit Card Payments,$,"-2,376.68",,,Personal,Bank of America - Bank - Adv Tiered Interest Chkg,Citibank
posted,6/15/2017,BIG 5 SPORTING GOODS 045 DALY CITY CA,,Travel,$,-47.01,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,Big 5 Sporting Goods
posted,6/15/2017,DICKS SPORTING GOODS1092 DALY CITY CA,,Travel,$,-21.67,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,Dick's Sporting Goods
posted,6/14/2017,Interest Earned,,Interest,$,0.21,,,Personal,Bank of America - Bank - Adv Tiered Interest Chkg,Interest
posted,6/14/2017,Interest Earned,,Interest,$,0.65,,,Personal,Bank of America - Bank - Money Market Savings,Interest
posted,6/14/2017,Interest Earned,,Interest,$,0.16,,,Personal,Bank of America - Bank - REWARDS MONEY MARKET SAV,Interest
posted,6/14/2017,Interest Earned,,Interest,$,0.27,,,Personal,Bank of America - Bank - Bofa Interest Checking,Interest
posted,6/14/2017,Federal Withholding,,Taxes,$,-0.06,,,Personal,Bank of America - Bank - Adv Tiered Interest Chkg,
posted,6/14/2017,Federal Withholding,,Taxes,$,-0.18,,,Personal,Bank of America - Bank - Money Market Savings,
posted,6/14/2017,COSTCO WHSE #0422 SOUTH SAN FRACA,,Groceries,$,-50.56,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/14/2017,COSTCO WHSE #0422 SOUTH SAN FRACA,,Groceries,$,50.56,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/14/2017,AUTOPAY 9xxxxxxxxxx5327RAUTOPAY AUTO-PMT,,Credit Card Payments,$,"2,376.68",,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/13/2017,AT&T   *PAYMENT          xxx-xxx-2020 TX,,Cable/Satellite Services,$,-78.94,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,
posted,6/12/2017,BKOFAMERICA MOBILE 06/11 xxxxxx0058 DEPOSIT                                    *MOBILE       CA,,Other Income,$,122.64,,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/11/2017,AMERICAN AIRxxxxxxxxx8230FORT WORTH TX NAME: LIN/RONGKE DEPART: 06/25/2017 SEA TO SFO : AS: CLASS: M : STOP: O,,Travel,$,-178.2,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,American Airlines
posted,6/9/2017,KINDLE-FinancialTi xxx-xxx-1072 WA,,Dues and Subscriptions,$,-14.99,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/9/2017,ACT*SB Recreation        xxx-xxx7195  TX,,Uncategorized,$,-85,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,
posted,6/6/2017,COSTCO WHSE #0422 SOUTH SAN FRACA,,Groceries,$,-44.79,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/5/2017,TOYOTA FINANCIAL DES:RETAIL_PAY ID:xxxxxxxxxx0517            INDN:RONGKE LIN              CO ID:1953,,Automotive Expenses,$,-321.52,,,Personal,Bank of America - Bank - Bofa Interest Checking,
posted,6/5/2017,MANILA ORIENTAL MARKET   DALY CITY    CA,,Groceries,$,-22.75,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Manila Oriental Market
posted,6/5/2017,THAI BASIL RESTAURANT    SUNNYVALE    CA,,Restaurants/Dining,$,-24,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,
posted,6/3/2017,WA VEHICLE LICENSING xxx-xxx-7470 WA,,Automotive Expenses,$,-83.75,,,Personal,Citi Credit Cards - Costco Anywhere Visa  Business Card by Citi,
posted,6/3/2017,SAFEWAY STORE xxxx8787   MILBRAE      CA,,Groceries,$,-6.58,,,Personal,Bank of America - Credit Card - BankAmericard Cash Rewards Visa Signatur,Safeway
posted,6/1/2017,Bank of America  DES:MORTGAGE   ID:xxxxx9169                 INDN:RONGKE LIN              CO ID:8172,,Mortgages,$,"-3,116.77",,,Personal,Bank of America - Bank - Bofa Interest Checking,Bank of America
posted,6/1/2017,Online scheduled payment to MTG 7841                        Confirmation# xxxxxx8821,,Mortgages,$,"-1,955.41",,,Personal,Bank of America - Bank - Adv Tiered Interest Chkg,
